,Name,Miles_per_Gallon,Cylinders,Displacement,Horsepower,Weight_in_lbs,Acceleration,Year,Origin
332,vw rabbit c (diesel),44.3,4,90.0,48.0,2085,21.7,1980-01-01,Europe
333,vw dasher (diesel),43.4,4,90.0,48.0,2335,23.7,1980-01-01,Europe
334,audi 5000s (diesel),36.4,5,121.0,67.0,2950,19.9,1980-01-01,Europe
335,mercedes-benz 240d,30.0,4,146.0,67.0,3250,21.8,1980-01-01,Europe
336,honda civic 1500 gl,44.6,4,91.0,67.0,1850,13.8,1980-01-01,Japan
337,renault lecar deluxe,40.9,4,85.0,,1835,17.3,1980-01-01,Europe
338,subaru dl,33.8,4,97.0,67.0,2145,18.0,1980-01-01,Japan
339,vokswagen rabbit,29.8,4,89.0,62.0,1845,15.3,1980-01-01,Europe
340,datsun 280-zx,32.7,6,168.0,132.0,2910,11.4,1980-01-01,Japan
341,mazda rx-7 gs,23.7,3,70.0,100.0,2420,12.5,1980-01-01,Japan
342,triumph tr7 coupe,35.0,4,122.0,88.0,2500,15.1,1980-01-01,Europe
343,ford mustang cobra,23.6,4,140.0,,2905,14.3,1980-01-01,USA
344,honda Accelerationord,32.4,4,107.0,72.0,2290,17.0,1980-01-01,Japan
345,plymouth reliant,27.2,4,135.0,84.0,2490,15.7,1982-01-01,USA
346,buick skylark,26.6,4,151.0,84.0,2635,16.4,1982-01-01,USA
347,dodge aries wagon (sw),25.8,4,156.0,92.0,2620,14.4,1982-01-01,USA
348,chevrolet citation,23.5,6,173.0,110.0,2725,12.6,1982-01-01,USA
349,plymouth reliant,30.0,4,135.0,84.0,2385,12.9,1982-01-01,USA
350,toyota starlet,39.1,4,79.0,58.0,1755,16.9,1982-01-01,Japan
351,plymouth champ,39.0,4,86.0,64.0,1875,16.4,1982-01-01,USA
352,honda civic 1300,35.1,4,81.0,60.0,1760,16.1,1982-01-01,Japan
353,subaru,32.3,4,97.0,67.0,2065,17.8,1982-01-01,Japan
354,datsun 210,37.0,4,85.0,65.0,1975,19.4,1982-01-01,Japan
355,toyota tercel,37.7,4,89.0,62.0,2050,17.3,1982-01-01,Japan
356,mazda glc 4,34.1,4,91.0,68.0,1985,16.0,1982-01-01,Japan
357,plymouth horizon 4,34.7,4,105.0,63.0,2215,14.9,1982-01-01,USA
358,ford escort 4w,34.4,4,98.0,65.0,2045,16.2,1982-01-01,USA
359,ford escort 2h,29.9,4,98.0,65.0,2380,20.7,1982-01-01,USA
360,volkswagen jetta,33.0,4,105.0,74.0,2190,14.2,1982-01-01,Europe
361,renault 18i,34.5,4,100.0,,2320,15.8,1982-01-01,Europe
362,honda prelude,33.7,4,107.0,75.0,2210,14.4,1982-01-01,Japan
363,toyota corolla,32.4,4,108.0,75.0,2350,16.8,1982-01-01,Japan
364,datsun 200sx,32.9,4,119.0,100.0,2615,14.8,1982-01-01,Japan
365,mazda 626,31.6,4,120.0,74.0,2635,18.3,1982-01-01,Japan
366,peugeot 505s turbo diesel,28.1,4,141.0,80.0,3230,20.4,1982-01-01,Europe
367,saab 900s,,4,121.0,110.0,2800,15.4,1982-01-01,Europe
368,volvo diesel,30.7,6,145.0,76.0,3160,19.6,1982-01-01,Europe
369,toyota cressida,25.4,6,168.0,116.0,2900,12.6,1982-01-01,Japan
370,datsun 810 maxima,24.2,6,146.0,120.0,2930,13.8,1982-01-01,Japan
371,buick century,22.4,6,231.0,110.0,3415,15.8,1982-01-01,USA
372,oldsmobile cutlass ls,26.6,8,350.0,105.0,3725,19.0,1982-01-01,USA
373,ford granada gl,20.2,6,200.0,88.0,3060,17.1,1982-01-01,USA
374,chrysler lebaron salon,17.6,6,225.0,85.0,3465,16.6,1982-01-01,USA
375,chevrolet cavalier,28.0,4,112.0,88.0,2605,19.6,1982-01-01,USA
376,chevrolet cavalier wagon,27.0,4,112.0,88.0,2640,18.6,1982-01-01,USA
377,chevrolet cavalier 2-door,34.0,4,112.0,88.0,2395,18.0,1982-01-01,USA
378,pontiac j2000 se hatchback,31.0,4,112.0,85.0,2575,16.2,1982-01-01,USA
379,dodge aries se,29.0,4,135.0,84.0,2525,16.0,1982-01-01,USA
380,pontiac phoenix,27.0,4,151.0,90.0,2735,18.0,1982-01-01,USA
381,ford fairmont futura,24.0,4,140.0,92.0,2865,16.4,1982-01-01,USA
382,amc concord dl,23.0,4,151.0,,3035,20.5,1982-01-01,USA
383,volkswagen rabbit l,36.0,4,105.0,74.0,1980,15.3,1982-01-01,Europe
384,mazda glc custom l,37.0,4,91.0,68.0,2025,18.2,1982-01-01,Japan
385,mazda glc custom,31.0,4,91.0,68.0,1970,17.6,1982-01-01,Japan
386,plymouth horizon miser,38.0,4,105.0,63.0,2125,14.7,1982-01-01,USA
387,mercury lynx l,36.0,4,98.0,70.0,2125,17.3,1982-01-01,USA
388,nissan stanza xe,36.0,4,120.0,88.0,2160,14.5,1982-01-01,Japan
389,honda Accelerationord,36.0,4,107.0,75.0,2205,14.5,1982-01-01,Japan
390,toyota corolla,34.0,4,108.0,70.0,2245,16.9,1982-01-01,Japan
391,honda civic,38.0,4,91.0,67.0,1965,15.0,1982-01-01,Japan
392,honda civic (auto),32.0,4,91.0,67.0,1965,15.7,1982-01-01,Japan
393,datsun 310 gx,38.0,4,91.0,67.0,1995,16.2,1982-01-01,Japan
394,buick century limited,25.0,6,181.0,110.0,2945,16.4,1982-01-01,USA
395,oldsmobile cutlass ciera (diesel),38.0,6,262.0,85.0,3015,17.0,1982-01-01,USA
396,chrysler lebaron medallion,26.0,4,156.0,92.0,2585,14.5,1982-01-01,USA
397,ford granada l,22.0,6,232.0,112.0,2835,14.7,1982-01-01,USA
398,toyota celica gt,32.0,4,144.0,96.0,2665,13.9,1982-01-01,Japan
399,dodge charger 2.2,36.0,4,135.0,84.0,2370,13.0,1982-01-01,USA
400,chevrolet camaro,27.0,4,151.0,90.0,2950,17.3,1982-01-01,USA
401,ford mustang gl,27.0,4,140.0,86.0,2790,15.6,1982-01-01,USA
402,vw pickup,44.0,4,97.0,52.0,2130,24.6,1982-01-01,Europe
403,dodge rampage,32.0,4,135.0,84.0,2295,11.6,1982-01-01,USA
404,ford ranger,28.0,4,120.0,79.0,2625,18.6,1982-01-01,USA
405,chevy s-10,31.0,4,119.0,82.0,2720,19.4,1982-01-01,USA
